key,id,eco,Name,book,fen6,mainline,slug,eval,checkmate,family,white,draw,black,family name
rnbqkb1r/ppp2ppp/4pn2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq,9121,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Weinsbach Declination,notable,rnbqkb1r/ppp2ppp/4pn2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 1 5,1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.f3 Nf6,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Weinsbach-Declination,0.51,0,1623,45.83,8.33,45.83,Queen's Pawn Opening
rnbqkb1r/ppp2ppp/4pn2/8/3PP3/2N5/PPP3PP/R1BQKBNR b KQkq,8858,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Weinsbach Declination; Pfrang Gambit,notable,rnbqkb1r/ppp2ppp/4pn2/8/3PP3/2N5/PPP3PP/R1BQKBNR b KQkq - 0 5,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e6 5.fxe4,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Weinsbach-Declination-Pfrang-Gambit,0.39,0,1623,44.44,5.56,50,Queen's Pawn Opening
rnbqk2r/ppp2ppp/4pn2/8/1b1PP3/2N5/PPP3PP/R1BQKBNR w KQkq,8859,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Weinsbach Declination; Pfrang Gambit,notable,rnbqk2r/ppp2ppp/4pn2/8/1b1PP3/2N5/PPP3PP/R1BQKBNR w KQkq - 1 6,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e6 5.fxe4 Bb4,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Weinsbach-Declination-Pfrang-Gambit-5...Bb4,0.72,0,1623,41.18,5.88,52.94,Queen's Pawn Opening
rnbqk2r/ppp2ppp/4pn2/8/1b1PP3/2NB4/PPP3PP/R1BQK1NR b KQkq,8860,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Weinsbach Declination; Pfrang Gambit,notable,rnbqk2r/ppp2ppp/4pn2/8/1b1PP3/2NB4/PPP3PP/R1BQK1NR b KQkq - 2 6,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e6 5.fxe4 Bb4 6.Bd3,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Weinsbach-Declination-Pfrang-Gambit-5...Bb4-6.Bd3,-0.65,0,1623,62.5,12.5,25,Queen's Pawn Opening
rnbqk2r/ppp2ppp/4pn2/8/3PP3/2bB4/PPP3PP/R1BQK1NR w KQkq,8861,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Weinsbach Declination; Pfrang Gambit,notable,rnbqk2r/ppp2ppp/4pn2/8/3PP3/2bB4/PPP3PP/R1BQK1NR w KQkq - 0 7,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e6 5.fxe4 Bb4 6.Bd3 Bxc3+,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Weinsbach-Declination-Pfrang-Gambit-5...Bb4-6.Bd3-Bxc3,1.54,0,1623,0,0,0,Queen's Pawn Opening
rnbqk2r/ppp2ppp/4pn2/8/3PP3/2PB4/P1P3PP/R1BQK1NR b KQkq,8862,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Weinsbach Declination; Pfrang Gambit,notable,rnbqk2r/ppp2ppp/4pn2/8/3PP3/2PB4/P1P3PP/R1BQK1NR b KQkq - 0 7,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e6 5.fxe4 Bb4 6.Bd3 Bxc3+ 7.bxc3,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Weinsbach-Declination-Pfrang-Gambit-5...Bb4-6.Bd3-Bxc3-7.bxc3,1.67,0,1623,0,0,0,Queen's Pawn Opening
rnbqk2r/ppp2ppp/4p3/8/3Pn3/2PB4/P1P3PP/R1BQK1NR w KQkq,8863,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Weinsbach Declination; Pfrang Gambit,notable,rnbqk2r/ppp2ppp/4p3/8/3Pn3/2PB4/P1P3PP/R1BQK1NR w KQkq - 0 8,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e6 5.fxe4 Bb4 6.Bd3 Bxc3+ 7.bxc3 Nxe4,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Weinsbach-Declination-Pfrang-Gambit...6.Bd3-Bxc3-7.bxc3-Nxe4,1.82,0,1623,0,0,0,Queen's Pawn Opening
rnbqk2r/ppp2ppp/4p3/8/3Pn3/2PBB3/P1P3PP/R2QK1NR b KQkq,8864,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Weinsbach Declination; Pfrang Gambit,notable,rnbqk2r/ppp2ppp/4p3/8/3Pn3/2PBB3/P1P3PP/R2QK1NR b KQkq - 1 8,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e6 5.fxe4 Bb4 6.Bd3 Bxc3+ 7.bxc3 Nxe4 8.Be3,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Weinsbach-Declination-Pfrang-Gambit...6.Bd3-Bxc3-7.bxc3-Nxe4-8.Be3,-0.57,0,1623,0,0,0,Queen's Pawn Opening
rnbqkb1r/ppp1pp1p/5np1/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq,8865,D00,Queen's Pawn Opening: Blackmar-Diemer; Albrecht Karlsruhe Defense,notable,rnbqkb1r/ppp1pp1p/5np1/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 0 5,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 g6,Queens-Pawn-Opening-Blackmar-Diemer-Albrecht-Karlsruhe-Defense,0.39,0,1623,16.67,0,83.33,Queen's Pawn Opening
rnbqkb1r/ppp1pp1p/5np1/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq,181,D00,Queen's Pawn Opening: Blackmar-Diemer; Bogoljubov Defense,book,rnbqkb1r/ppp1pp1p/5np1/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq - 0 6,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 g6,Queens-Pawn-Opening-Blackmar-Diemer-Bogoljubov-Defense,-0.47,0,1623,56.43,14.29,29.29,Queen's Pawn Opening
