alias_name,alias_slug,eco_code,reason
Three Knights Opening,Three-Knights-Opening,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening-3...Bc5,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening-3...Bc5-4.Nxe5,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening-3...Bc5-4.Nxe5-Nxe5,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening-3...Bc5-4.Nxe5-Nxe5-5.d4,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening...4.Nxe5-Nxe5-5.d4-Bd6,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening...4.Nxe5-Nxe5-5.d4-Bd6-6.dxe5,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening...5.d4-Bd6-6.dxe5-Bxe5,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening-3...d6,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening-3...d6-4.d4,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening-3...d6-4.d4-Bg4,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening-3...d6-4.d4-exd4,C46,low_confidence_or_unmatched
Three Knights Opening: Schlechter Variation,Three-Knights-Opening-Schlechter-Variation,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense-4.d4,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense-4.d4-exd4,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense-4.d4-exd4-5.Nxd4-Bg7,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense-4.d4-exd4-5.Nxd4-Bg7-6.Be3,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense...5.Nxd4-Bg7-6.Be3-Nf6,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense...5.Nxd4-Bg7-6.Be3-d6,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense...5.Nxd4-Bg7-6.Be3-d6-7.Qd2,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense...6.Be3-d6-7.Qd2-Nf6,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense...6.Be3-d6-7.Qd2-Nf6-8.f3,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense...7.Qd2-Nf6-8.f3-O-O,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense...5.Nxd4-Bg7-6.Be3-Nge7,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense...5.Nxd4-Bg7-6.Be3-Nge7-7.Qd2,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense...5.Nxd4-Bg7-6.Be3-Nf6-7.Nxc6,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense-4.Bc4,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense-4.Bc4-Bg7,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz Defense,Three-Knights-Opening-Steinitz-Defense...7.Qd2-Nf6-8.f3-O-O-9.O-O-O,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz; Rosenthal Variation,Three-Knights-Opening-Steinitz-Rosenthal-Variation,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz; Rosenthal Variation,Three-Knights-Opening-Steinitz-Rosenthal-Variation-5...Bg7,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz; Rosenthal Variation,Three-Knights-Opening-Steinitz-Rosenthal-Variation-5...Bg7-6.Bg5,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz; Rosenthal Variation,Three-Knights-Opening-Steinitz-Rosenthal-Variation-5...Bg7-6.Bg5-Nce7,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz; Rosenthal Variation,Three-Knights-Opening-Steinitz-Rosenthal-Variation-5...Bg7-6.Bg5-Nce7-7.Nxd4,C46,low_confidence_or_unmatched
Three Knights Opening: Steinitz; Rosenthal Variation,Three-Knights-Opening-Steinitz-Rosenthal-Variation...6.Bg5-Nce7-7.Nxd4-c6,C46,low_confidence_or_unmatched
Three Knights Opening: Winawer Defense,Three-Knights-Opening-Winawer-Defense,C46,low_confidence_or_unmatched
